shell_sort3,Two Alternating Runs,10000,0.009575312500146538
shell_sort4,Random,10,5.5250000059459126e-06
shell_sort4,Random,100,0.00012105000001838562
shell_sort4,Random,500,0.0008578125000440195
shell_sort4,Random,1000,0.0020726999999851614
shell_sort4,Random,2500,0.006713275000095109
shell_sort4,Random,5000,0.016551874999947813
shell_sort4,Random,10000,0.03626292500001682
shell_sort4,Almost Sorted,10,6.962499981000292e-06
shell_sort4,Almost Sorted,100,7.516250002481684e-05
shell_sort4,Almost Sorted,500,0.0007089999999720931
shell_sort4,Almost Sorted,1000,0.0018540749998692263
shell_sort4,Almost Sorted,2500,0.005956212500109359
shell_sort4,Almost Sorted,5000,0.013889787499920203
shell_sort4,Almost Sorted,10000,0.033364437499983524
shell_sort4,Two Alternating Runs,10,7.350000032602111e-06
shell_sort4,Two Alternating Runs,100,0.00012133749999065913
shell_sort4,Two Alternating Runs,500,0.0007715250001183449
shell_sort4,Two Alternating Runs,1000,0.001981549999982235
shell_sort4,Two Alternating Runs,2500,0.006815487499977735
shell_sort4,Two Alternating Runs,5000,0.016015412499882586
shell_sort4,Two Alternating Runs,10000,0.03756802499992773
shell_sort5,Random,10,3.287500078386074e-06
shell_sort5,Random,100,4.0250000154173904e-05
shell_sort5,Random,500,0.00036765000010063886
shell_sort5,Random,1000,0.0009278000000563225
shell_sort5,Random,2500,0.002765349999947375
shell_sort5,Random,5000,0.0064975124999477885
shell_sort5,Random,10000,0.015342287500004659
shell_sort5,Almost Sorted,10,3.6999999224462954e-06
shell_sort5,Almost Sorted,100,3.981249994922109e-05
shell_sort5,Almost Sorted,500,0.0002250000000003638
shell_sort5,Almost Sorted,1000,0.0004920250000282067
shell_sort5,Almost Sorted,2500,0.0013391624999599117
shell_sort5,Almost Sorted,5000,0.0029099000000769593
shell_sort5,Almost Sorted,10000,0.006241062499896088
shell_sort5,Two Alternating Runs,10,3.5999998999614036e-06
shell_sort5,Two Alternating Runs,100,3.9887500008717325e-05
shell_sort5,Two Alternating Runs,500,0.0002271500000006199
shell_sort5,Two Alternating Runs,1000,0.0005012124999552725
shell_sort5,Two Alternating Runs,2500,0.0013247000000546905
shell_sort5,Two Alternating Runs,5000,0.003065312499927586
shell_sort5,Two Alternating Runs,10000,0.006200400000011541
skip_list_sort,Random,10,1.7187500361615093e-05
skip_list_sort,Random,100,0.0001541250001082517
skip_list_sort,Random,500,0.0010373874999913824
skip_list_sort,Random,1000,0.0020169624997379287
skip_list_sort,Random,2500,0.005458562499597974
skip_list_sort,Random,5000,0.012117037500274819
skip_list_sort,Random,10000,0.02611078750010165
skip_list_sort,Almost Sorted,10,1.4225000313672354e-05
skip_list_sort,Almost Sorted,100,0.0001531999998860556
skip_list_sort,Almost Sorted,500,0.0008898499997940235
skip_list_sort,Almost Sorted,1000,0.0019382374998713203
skip_list_sort,Almost Sorted,2500,0.0068090124993887
skip_list_sort,Almost Sorted,5000,0.010632900000018708
skip_list_sort,Almost Sorted,10000,0.023460799999838855
skip_list_sort,Two Alternating Runs,10,1.3962499906483572e-05
skip_list_sort,Two Alternating Runs,100,0.0001705624999885913
skip_list_sort,Two Alternating Runs,500,0.00091331250064286
skip_list_sort,Two Alternating Runs,1000,0.001981537499887054
skip_list_sort,Two Alternating Runs,2500,0.005606149999948684
skip_list_sort,Two Alternating Runs,5000,0.011436975000151506
skip_list_sort,Two Alternating Runs,10000,0.024212887499743374
